 Loading the index...
 Index loaded 1758051510 bytes
0;1;9226948
1;1000;2763208
2;1;1882408
3;27;3151090
4;273;1639318
5;1;1195947
6;1;734216
7;2;244741
8;1;43786252
9;1000;2675145
10;2;1089584
11;10;1025850
12;1;175105
13;81;4804481
14;8;11108807
15;11;16500698
16;4;169720
17;10;112526
18;3;11868852
19;2;1118218
20;4;391676
21;50;84067260
22;5;2423073
23;17;39831607
24;2;3888822
25;2;7905122
26;245;1640844
27;10;619244
28;1;168676
29;248;39020953
30;1;1336818
31;2;160422
32;1;10711529
33;1;17019587
34;102;23558060
35;2;2571923
36;11;35873874
37;1;231576
38;9;24700997
39;1;4871359
40;1;95385
41;1;20271973
42;7;1044746
43;1;4996172
44;5;3411134
45;1;77049744
46;1;1931475
47;1;403730
48;3;4729946
49;1000;5990376
50;1;1246594
51;1;1022272
52;1;578600
53;1;903718
54;1;12181964
55;32;492682
56;926;3043773
57;1;186255
58;1;2391872
59;1;72070
60;1;49218629
61;1;186244
62;507;8037143
63;4;900997
64;2;92113
65;2;823195
66;1;1141256
67;26;2075618
68;1;610531
69;6;1033364
70;29;118344
71;1;206690
72;1;1187169
73;308;177231167
74;1;344549
75;1;821626
76;15;15231005
77;24;1232156
78;3;1148834
79;1;8429876
80;16;2918380
81;76;286072
82;1;687544
83;32;1013874
84;56;1865831
85;1;950367
86;37;346707
87;1;419052
88;20;860362
89;1000;3453904
90;1;2351238
91;35;502285
92;1;1472861
93;22;232792
94;1;113617
95;1;649859
96;1000;4128684
97;4;595200
98;1;795705
99;188;18423039
100;1;168942
101;1;708129
102;1;1965356
103;1;3106767
104;1;37389681
105;1;421567
106;9;4133642
107;1;226852
108;76;692324
109;143;2784278
110;7;1435324
111;33;272482
112;688;9356891
113;3;52365848
114;233;5100742
115;1;760429
116;8;1449059
117;7;4157283
118;1000;133851545
119;1;532191
120;1;7450087
121;2;211657
122;5;2728660
123;1;3954015
124;93;710870
125;1;492653
126;12;4398127
127;4;790870
128;3;1210209
129;1000;1503464
130;1;1428266
131;1;16183438
132;3;28969635
133;2;643482
134;1;175008
135;1;240620
136;1;462827
137;120;666875
138;2;4774739
139;7;16834689
140;365;1814020
141;1;6107667
142;23;2152110
143;7;5977038
144;1;870046
145;122;3498128
146;2;1118621
147;71;721296
148;1;326425
149;61;883691
150;1;9425214
151;1;12618754
152;1000;5123669
153;1;21852351
154;9;318004
155;3;1644684
156;6;615627
157;1;715577
158;7;466732
159;1;1581919
160;1;611300
161;386;2767571
162;30;5538299
163;1;99849
164;18;353235
165;1000;10309290
166;1;1160365
167;97;423979
168;1000;3503371
169;2;3613070
170;83;62927790
171;1000;4048351
172;2;219557418
173;234;4793584
174;1;25518052
175;1000;785799
176;1;457639
177;1;9679624
178;1;2697634
179;1000;4501768
180;1;118208
181;1;1085661
182;128;1708577
183;1000;9001434
184;1;27147433
185;1;1744557
186;1;3317980
187;1;1018837
188;2;1175780
189;3;5747021
190;59;55453138
191;2;69993229
192;1;1152321
193;1;449133
194;1000;5641424
195;1;16142791
196;80;4244156
197;3;5305491
198;8;125716
199;65;10918479
200;1000;1630643
201;2;5328276
202;35;18792297
203;8;695595
204;1;192271
205;1;3542780
206;3;412103
207;1;693877368
208;2;246125
209;568;3869023
210;1;35447095
211;113;4607226
212;1;2669168
213;9;919332
214;1;29184041
215;3;1364508
216;1;707937
217;1;244351
218;1000;10503717
219;3;1214619
220;3;17353740
221;1;224641
222;1;779158
223;12;1451227
224;1;913744
225;3;1436284
226;3;68307509
227;1;1021688
228;1;16035881
229;5;142305
230;34;4812596
231;2;217127
232;31;3432218
233;1;10110263
234;1;2772422
235;1;6545913
236;4;1272384
237;1;122922652
238;1;1339872
239;22;25955554
240;1000;19245262
241;12;1447649
242;7;1391662
243;5;6145986
244;1;280469
245;1;292345
246;3;140221
247;1;253006
248;1;21786109
249;4;12688351
250;1;605655
251;2;790522
252;87;1092432
253;30;3020422
254;2;11081216
255;15;1649536
256;2;1220044
257;1;201385
258;2;699514
259;1;487757
260;1;484105
261;2;3362673
262;1;522031
263;2;108876
264;2;66404
265;284;2649321
266;1;129432
267;1;518786
268;3;408335
269;1000;3891284
270;1;1528638
271;1;876288
272;1000;5681624
273;3;200708
274;2;2259345
275;64;4066731
276;2;102481
277;25;252969
278;5;1636763
279;3;1910563
280;5;340644859
281;1;994792
282;1;184323
283;12;166348981
284;17;642234
285;1;2701167
286;1000;4254707
287;4;44098896
288;37;2812703
289;1;1503079
290;3;186851170
291;432;1892593
292;1;241982
293;172;5895494
294;8;384395
295;1;119732
296;38;1196619
297;3;2825106
298;1;5005378
299;1;100637
300;1;3201435
301;10;1342702
302;2;2298512
303;4;1449102
304;6;84448
305;52;1103314
306;1;59980
307;2;4775590
308;4;840059
309;320;2286212
310;1;132064
311;1;16831778
312;1000;2860376
313;1;2717668
314;1;544117
315;2;3225600
316;24;448482
317;24;487878
318;1;263395
319;1;114035
320;2;2271871
321;1;385770
322;1;30305125
323;22;2099164
324;67;2369785
325;1;7896552
326;1;1447049
327;4;24133739
328;1;662472
329;1;54816
330;1;909744
331;2;16672043
332;21;1887879
333;1;897764
334;18;932951
335;1;182311
336;1000;10456750
337;50;13065949
338;830;2720033
339;6;1784224
340;1;472339
341;1;2506693
342;24;62377961
343;7;502852
344;1;5599251
345;1;27252093
346;2;14415917
347;1;1327845
348;4;3343283
349;1;463705
350;2;12904727
351;1;36778158
352;48;692620
353;7;849752
354;9;4021389
355;1000;12820448
356;2;47234757
357;23;3068393
358;1;383248
359;1;7570042
360;1;12199443
361;1;13248766
362;14;957070
363;30;5465026
364;21;1124536
365;1000;7686032
366;1;7950870
367;1;6173304
368;704;4594868
369;3;1071672
370;1;284670
371;2;417465
372;1;35463425
373;8;170182
374;1000;14746405
375;1;2861970
376;65;430539
377;1;3607220
378;1;2135706
379;1;1079075
380;1000;7605345
381;1;84115
382;1;171623
383;1;57001
384;3;358035
385;1;44871790
386;486;15907116
387;1;195002
388;50;557358499
389;4;10069303
390;1000;4861432
391;6;401556
392;3;455911
393;16;2413964
394;883;16961296
395;1;2954210
396;1000;6890870
397;221;29702234
398;20;862836
399;1;9428255
400;1;2758776
401;1;703250
402;23;2158158
403;1000;2570896
404;2;13127981
405;2;338233
406;4;1483239
407;4;3065060
408;59;518074314
409;1;1575388
410;6;37703136
411;1;273752
412;1;28655904
413;14;1648582
414;2;17791537
415;3;31530955
416;141;22646896
417;1;411047
418;1;179666
419;3;3344514
420;151;2168068
421;2;11265909
422;25;292160
423;1;897382
424;1;8426509
425;1;6102450
426;1;7297858
427;1;4441547
428;1;675500
429;1;8184132
430;2;79532681
431;117;1130124
432;2;78412
433;49;19393171
434;1;313057
435;2;2544361
436;1;530251
437;1;102740
438;1;619327
439;3;592697
440;2;839618
441;2;1917622
442;10;641516
443;1000;11137302
444;1;817590
445;1;36602423
446;7;1029057
447;3;1219646
448;2;19977162
449;32;1263663
450;2;451327
451;56;7368634
452;1000;3791846
453;1000;2510013
454;1;5570743
455;29;2900648
456;5;273875
457;1;102066
458;328;1728556
459;1;1012033
460;83;4324339
461;6;88267845
462;1;21750999
463;1;3497990
464;4;360691
465;1;2185031
466;2;641275
467;1;812157
468;19;1342425
469;1;553270
470;1000;4199927
471;1;1589677
472;1;284437
473;2;18312736
474;1;790419
475;248;2470660
476;1;1294755
477;349;2630098
478;1;1439859
479;2;319439
480;14;3609410
481;73;6765636
482;2;563870
483;2;369436
484;1;135155
485;1;63027
486;1;1846389
487;1;189057
488;20;1773906
489;48;2244211
490;1;2304211
491;1;58233491
492;120;738764
493;1;387515
494;1;1282544
495;1000;3894265
496;153;3786652
497;3;449433971
498;1;390115
499;3;4049510
500;1;65043603
501;1;70584285
502;150;1233024
503;29;1018803
504;1;33322169
505;1;10601328
506;1;86236
507;1;728236
508;11;746250
509;1;147344
510;1000;5950086
511;1;546603
512;4;5881256
513;117;4064647
514;2;15260760
515;1;46911745
516;26;7161659
517;4;1405341
518;13;620500
519;1;170647
520;18;1849170
521;4;3067623
522;1000;5468036
523;1;2281671
524;532;10986339
525;1;5973998
526;1;373375
527;131;5376567
528;1;497249
529;1;9324735
530;1;618352
531;6;643277
532;141;767454
533;8;2630402
534;250;14396673
535;1000;4380289
536;149;2715588
537;4;349111
538;4;10865124
539;2;23778730
540;3;565117
541;1;436342
542;1;250199
543;5;3385973
544;1;225880
545;1;76378
546;6;246674
547;1;695537
548;3;638621
549;1000;4983138
550;1;5515596
551;2;159589
552;1;101840
553;1;254962
554;7;307037
555;1;3311592
556;1;449990
557;1;11675583
558;309;4890926
559;6;889998
560;1;691023
561;3;2243768
562;12;15604164
563;1000;4106972
564;3;576311
565;1;1510814
566;2;15846414
567;2;182130
568;6;146607
569;326;7124341
570;13;246753533
571;1;118474357
572;77;1268523
573;3;1176916
574;1;6175846
575;1;3727610
576;1;880510
577;1;839975
578;1;2517408
579;697;2896165
580;9;4112760
581;3;140221152
582;1;71732
583;1;93454
584;1;11247659
585;3;201822
586;2;531741370
587;3;705052
588;4;630070
589;1;383625
590;1;2919601
591;2;483000
592;2;26001068
593;6;15131971
594;1;9561683
595;1000;4721281
596;5;202500
597;1;82101
598;2;231599
599;1;6698598
600;1000;7942529
601;1000;2664574
602;279;835957
603;448;1703079
604;263;31435010
605;1;554991
606;1;19700923
607;1000;7912127
608;30;25170109
609;2;4047358
610;1;2305772
611;1;815478
612;1;640101
613;2;97671087
614;1;79015646
615;193;4337504
616;16;9368551
617;3;1107728
618;3;754727
619;26;18135342
620;2;73172
621;1;160503
622;18;659952
623;2;2172906
624;23;6056505
625;3;570362
626;1;20475954
627;1;103603
628;5;200304
629;4;582189
630;1000;4617825
631;523;7863545
632;39;3615042
633;52;2016151
634;10;1303575
635;1;285929
636;1;1393742
637;2;523450
638;6;487116
639;2;5374786
640;250;2775814
641;3;1185096
642;3;1996167
643;3;602961
644;3;91485
645;1;303740
646;1;1136939
647;476;725983
648;2;8171757
649;1;660568
650;3;34805217
651;1;3492012
652;2;1023041
653;109;2252774
654;8;1374616
655;13;4596110
656;30;1755576
657;3;990126
658;8;3587498
659;2;1840529
660;2;2536639
661;1;2455728
662;2;167301988
663;806;25561786
664;3;4896468
665;3;2844958
666;1;948845
667;1;3445913
668;1;2778598
669;1000;7377659
670;9;14320365
671;5;5491469
672;2;320629
