Orig;V1;V2
7120000;5455000;5454000
561899000;23985860000;23723356000
2299000;2039000;2011000
722000;531000;543000
133024000;89365000;90279000
1857000;1198000;1201000
10328000;8186000;8105000
17490000;4117000;4286000
241630000;107793000;109835000
7826000;4349000;4384000
3345000;2628000;2619000
114779000;66840000;67626000
7307000;1691000;1880000
309000;234000;225000
19667000;10201000;10786000
1900000;1236000;1219000
216000;174000;171000
2907000;1812000;1888000
5798000;4310000;4318000
7953999;6118000;6086000
302000;188000;187000
6695000;5347000;5345000
3431000;1909000;1943000
2359000;1439000;1458000
5879000;3885000;3899000
250999;110000;117000
2852000;1181000;1318000
166000;84000;86000
6547000;5221000;5187000
3219000;2284000;2313000
7502000;2954000;3366000
452000;310000;307000
21692000;14458000;14584000
11270000;2939000;2902000
10827000;7130000;7189000
2003000;1667000;1647000
5399000;4418000;4434000
1397000;46808000;46858000
1336000;827000;839000
568000;422000;434000
346000;291000;277000
5112000;3670000;3649000
1358000;857000;865000
61936000;44484000;44419000
2950000;1671000;1707000
3752000;1742000;1926000
12992000;9533000;9581000
26587000;19471000;19635000
28938000;20280000;20521000
2306000;1631000;1609000
170000;113000;109000
2919000;2021000;2032000
24242000;14165000;14290000
5259000;3935000;4134000
1870000;1356000;1385000
1950000;1548000;1560000
889000;571000;578000
29183000;19439000;14311000
21379000;13121000;13194000
11299000;2446000;2678000
3455000;2863000;2901000
1790000;1173000;1176000
6976000;5254000;5298000
166420000;127571000;127731000
1462000;1231000;1205000
15313000;9182000;9159000
42985000;26227000;26750000
35239000;27113000;27346000
2152000;1697000;1674000
6959000;5651000;5603000
947000;826000;825000
18207000;10133000;10128000
50603000;36643000;36872000
2682000;896000;882000
2560000;1441000;1463000
6393000;4833000;4906000
59173000;17425000;12716000
382342000;202644000;206140000
14165000;8752000;8844000
539000;377000;386000
22227000;15709000;15555000
23466000;18537000;18324000
18940000;12547000;12684000
3015000;2298000;2326000
8630000;6781000;6727000
4964000;3343000;3340000
26140000;20084000;7833000
16146000;13051000;13050000
13191000;11237000;11263000
6904000;4568000;5321000
3647000;2682000;2702000
1091000;732000;785000
944000;797000;803000
41551000;29434000;29929000
411000;162000;179000
40353000;21954000;16940000
4631000;3442000;3428000
2084000;876000;932000
5301000;3896000;3918000
4486000;3664000;3659000
2726000;2139000;2140000
15082000;6367000;7720000
248000;176000;177000
446000;304000;301000
287000;175000;174000
653000;456000;458000
80912000;54941000;55720000
46722000;21431000;23026000
537000;429000;420000
1098515000;13597000000;13724080000
14322000;11358000;11432000
19249000;5298000;4751000
1754000;1179000;1196000
660000;458000;466000
9251000;6215000;6301000
44596000;20524000;22616000
4508000;3557000;3563000
19133000;21369000;6712000
74186000;50832000;50725000
2886000;2042000;2043000
17510000;13742000;13794000
5257000;3987000;4010000
2508000;1792000;1780000
9036000;5220000;5339000
8641000;8674000;2618000
18199000;10211000;10188000
1520000;990000;1004000
4759000;3546000;3490000
7109000;5757000;5761000
704081000;484126000;493169000
6871000;4718000;4670000
338015000;187436000;191673000
726000;585000;571000
44348000;34645000;34866000
4647000;3621000;3626000
38953000;26502000;26793000
43637000;28772000;28927000
50248000;35588000;35788000
1788000;1336000;1318000
526000;319000;327000
4546000;3120000;3123000
5388000;2594000;2765000
19795000;13418000;13633000
817000;253000;283000
3027000;2122000;2146000
16932000;12071000;12117000
16333000;9211000;9546000
14300000;12010000;11953000
17155000;11882000;11917000
1316000;1080000;1080000
19321000;13680000;13701000
176404000;106387000;110000000
3544000;1608000;1665000
165000;71000;75000
24867000;17865000;17873000
1452000;1078000;1086000
7031000;5978000;6012000
2069000;1570000;1568000
250999;144000;144000
2318000;1718000;1728000
1262000;1004000;997000
3877000;2798000;2802000
6878000;4696000;4763000
1000999;694000;708000
31973000;77681000;11656000
1578000;1380000;1327000
26650000;17050000;17071000
3346000;2365000;2359000
6307000;4254000;4225000
103957000;76815000;80250000
3530000;2340000;2356000
1835000;1204000;1222000
20100000;13894000;13932000
10986000;4690000;3872000
10081000;24824000;2816000
10216000;8292000;8238000
16021000;11192000;11271000
1007000;749000;743000
378000;231000;231000
4908000;1938000;2047000
2195000;1580000;1597000
10320000;6264000;6463000
165644000;99690000;100759000
19341000;13462000;13622000
13765000;8103000;8076000
1682000;1025000;1032000
5731000;4990000;4981000
2025000;1522000;1511000
1340000;1045000;1045000
3061000;1883000;1936000
1591000;1357000;1346000
14812000;7301000;5166000
4253000;3777000;3771000
1020000;781000;790000
32689999;21587000;21830000
2921000;2260000;2274000
4916000;2071000;2481000
2931000;2495000;2495000
8111999;3496000;3652000
