 Loading the index...
 Index loaded 1033851318 bytes
0;1;12648000
1;1000;2626000
2;1;2076000
3;27;4921000
4;273;2909000
5;1;2467000
6;1;1605000
7;2;367000
8;1;40343000
9;1000;2535000
10;2;1753000
11;10;1960000
12;1;434000
13;81;8446000
14;8;12305000
15;11;8866000
16;4;160000
17;10;231000
18;3;21824000
19;2;2632000
20;4;664000
21;50;52250000
22;5;106078000
23;17;13183000
24;2;13491000
25;2;15488000
26;245;2402000
27;10;1313000
28;1;482000
29;248;53723000
30;1;2955000
31;2;169000
32;1;13671000
33;1;41734000
34;102;54530000
35;2;5638000
36;11;23781000
37;1;529000
38;9;33804000
39;1;6485000
40;1;180000
41;1;12624000
42;7;2456000
43;1;5625000
44;5;10723000
45;1;108240000
46;1;3562000
47;1;1409000
48;3;8956000
49;1000;4975000
50;1;3762000
51;1;2498000
52;1;626000
53;1;2921000
54;1;26110000
55;32;420000
56;926;2741000
57;1;324000
58;1;4791000
59;1;82000
60;1;33373000
61;1;492000
62;507;8240000
63;4;1548000
64;2;77000
65;2;2636000
66;1;2378000
67;26;3011000
68;1;837000
69;6;3008000
70;29;156000
71;1;441000
72;1;2621000
73;308;266157000
74;1;713000
75;1;2076000
76;15;175270000
77;24;2665000
78;3;3004000
79;1;12243000
80;16;6389000
81;76;265000
82;1;2058000
83;32;1928000
84;56;2496000
85;1;1709000
86;37;488000
87;1;1203000
88;20;1740000
89;1000;11884000
90;1;2817000
91;35;586000
92;1;3356000
93;22;11680000
94;1;168000
95;1;1653000
96;1000;6792000
97;4;1583000
98;1;1782000
99;188;29958000
100;1;374000
101;1;2440000
102;1;3283000
103;1;4837000
104;1;51969000
105;1;974000
106;9;7542000
107;1;675000
108;76;1200000
109;143;2488000
110;7;4931000
111;33;252000
112;688;7992000
113;3;55640000
114;233;6541000
115;1;1270000
116;8;2519000
117;7;4014000
118;1000;283310000
119;1;2306000
120;1;50872000
121;2;506000
122;5;3233000
123;1;3966000
124;93;638000
125;1;1236000
126;12;8650000
127;4;1523000
128;3;3271000
129;1000;3118000
130;1;3649000
131;1;21636000
132;3;25644000
133;2;6354000
134;1;182000
135;1;507000
136;1;739000
137;120;606000
138;2;5407000
139;7;23550000
140;365;2248000
141;1;11067000
142;23;3319000
143;7;8502000
144;1;1546000
