Orig;V1;V2;V3;Orig/V3
1593000;1225000;898000;909000;1.75248
31722000;17520000;14030000;15468000;2.05081
5080000;4003000;2988000;3163000;1.60607
5741000;4907000;3724000;3757000;1.52808
2526000;1804000;1306000;1327000;1.90354
15534000;9600000;7779000;8100000;1.91778
3976999;1229000;1372000;1443000;2.75606
1502000;1287000;964000;984000;1.52642
1991000;1159000;809000;835000;2.38443
11542000;9670000;7122000;7269000;1.58784
462000;338000;249000;250000;1.84800
2084000;1535000;1189000;1231000;1.69293
705000;463000;389000;372000;1.89516
16511000;11595000;8774000;9072000;1.82000
129139000;62614000;57278000;57664000;2.23951
9031000;6044000;4113000;4168000;2.16675
805000;517000;371000;356000;2.26124
387000;301000;236000;239000;1.61925
10003000;1687000;1934000;2037000;4.91065
3292000;1140000;1270000;1343000;2.45123
20256000;12339000;7960000;7974000;2.54026
7481000;6285000;4690000;4738000;1.57894
270287000;135985000;66485000;69693000;3.87825
2014999;1421000;1035000;1073000;1.87791
33736000;28929000;12631000;13983000;2.41264
28809000;18416000;14234000;14885000;1.93544
3324000;2557000;2032000;2094000;1.58739
81674000;56837000;45118000;46180000;1.76860
2577000;2290000;1625000;1748000;1.47426
684532000;494576000;384113000;401003000;1.70705
1792000;1137000;837000;885000;2.02486
1303000;985000;713000;710000;1.83521
35391000;21098000;16404000;17073000;2.07292
703000;514000;414000;430000;1.63488
17418000;8286000;7498000;7551000;2.30671
35801000;24097000;18427000;19220000;1.86270
1465000;1308000;1009000;1036000;1.41409
319770000;241425000;181323000;188681000;1.69477
3253000;2338000;1813000;1885000;1.72573
4148000;3389000;2458000;2575000;1.61087
1505000;981000;734000;757000;1.98811
17386000;3808000;3553000;3725000;4.66738
4040000;3016000;2048000;2082000;1.94044
16174000;11861000;9191000;9442000;1.71298
508000;354000;278000;278000;1.82734
2205000;1271000;914000;916000;2.40721
3847000;2571000;1934000;1933000;1.99017
11954000;8179000;5229000;5292000;2.25888
39972000;22881000;12290000;12800000;3.12281
13581000;10801000;8153000;8344000;1.62764
1458000;829000;627000;635000;2.29606
6881000;5047000;3746000;3812000;1.80509
21964000;16026000;12106000;12570000;1.74733
1224000;984000;759000;778000;1.57326
229000;112000;105000;105000;2.18095
155000;98000;83000;84000;1.84524
52421000;37761000;26132000;27313000;1.91927
206000;107000;92000;115000;1.79130
575000;367000;291000;289000;1.98962
148912000;88318000;69638000;73654000;2.02178
100621000;66329000;52907000;56086000;1.79405
9416000;3449000;3825000;2817000;3.34256
9187000;6035000;4067000;4034000;2.27739
10272000;161492000;95974000;5066000;2.02764
329808000;171861000;133812000;142544000;2.31373
17819000;5506000;5573000;3617000;4.92646
2448000;1661000;1199000;1248000;1.96154
30672000;19781000;13882000;14568000;2.10544
169000;112000;93000;95000;1.77895
3350000;2883000;2103000;2173000;1.54165
1387000;929000;654000;659000;2.10470
3036000;2158000;1480000;1447000;2.09813
10582000;6654000;4857000;5048000;2.09628
4508000;3004000;1856000;1946000;2.31655
348000;195000;171000;167000;2.08383
860000;594000;383000;386000;2.22798
325000;235000;181000;180000;1.80556
61240000;28263000;10190000;10941000;5.59729
665000;526000;396000;405000;1.64198
2531000;1681000;1406000;1420000;1.78239
4057000;3313000;2680000;2693000;1.50650
899000;355000;374000;314000;2.86306
35260000;13375000;13217000;13381000;2.63508
3751000;3038000;2236000;2332000;1.60849
28189000;21034000;18308000;18942000;1.48817
28267000;12761000;11991000;12447000;2.27099
1861000;1227000;918000;976000;1.90676
2283000;1292000;872000;895000;2.55084
591000;451000;376000;379000;1.55937
2305000;1775000;1470000;1488000;1.54906
59979000;37900000;28354000;30266000;1.98173
1207000;837000;632000;696000;1.73420
16216999;9431000;6540000;6788000;2.38907
315000;190000;162000;170000;1.85294
276000;128000;128000;132000;2.09091
8333999;5538000;3885000;4008000;2.07934
1757000;1467000;1165000;1178000;1.49151
3929000;2938000;2306000;2355000;1.66837
1157000;481000;456000;478000;2.42050
622000;372000;271000;277000;2.24549
44257000;19898000;15900000;16606000;2.66512
25814000;734299000;474977000;15829000;1.63080
7682000;5921000;4740000;4827000;1.59146
457000;166000;166000;167000;2.73653
5290000;3774000;2171000;2268000;2.33245
2478000;1817000;1506000;1542000;1.60700
7438000;768000;559000;575000;12.93565
149233000;98699000;73858000;78567000;1.89944
420000;346000;266000;291000;1.44330
2183000;1583000;1169000;1212000;1.80116
7688000;9875000;4383000;2387000;3.22078
204000;106000;72000;76000;2.68421
224000;101000;87000;87000;2.57471
25618000;9109000;9407000;9850000;2.60081
25083000;14373000;10820000;11365000;2.20704
227000;155000;117000;138000;1.64493
1305000;844000;716000;654000;1.99541
2483000;1872000;1508000;1551000;1.60090
3114000;2392000;1885000;1804000;1.72616
747000;563000;466000;480000;1.55625
410000;225000;193000;196000;2.09184
976037000;423042000;146704000;155609000;6.27237
749000;567000;439000;468000;1.60043
87911000;66226000;48294000;49763000;1.76659
644000;549000;423000;451000;1.42794
153630000;104678000;87011000;89730000;1.71214
17812000;7626000;6730000;7233000;2.46260
12039000;7145000;4789000;5049000;2.38443
4302000;2539000;1703000;1763000;2.44016
1567000;1080000;731000;769000;2.03771
19465000;14199000;9353000;9363000;2.07893
519628000;386424000;332464000;345612000;1.50350
1293000;680000;509000;538000;2.40335
34171000;21401000;15229000;16267000;2.10063
128999;77000;62000;62000;2.08063
1988999;1381000;1071000;1062000;1.87288
58135000;15900000;10554000;8691000;6.68910
6802000;3717000;3234000;3357000;2.02621
4996000;36141000;24005000;3216000;1.55348
5606000;4277000;3401000;3490000;1.60630
20892000;9191000;8356000;8503000;2.45702
161000;113000;101000;104000;1.54808
3309000;1760000;1519000;1568000;2.11033
2060000;1582000;1268000;1280000;1.60938
296000;170000;126000;123000;2.40650
827000;448000;377000;388000;2.13144
1262000;1031000;749000;758000;1.66491
144000;84000;74000;74000;1.94595
11436000;8044000;6143000;6419000;1.78159
2448000;952000;956000;818000;2.99267
272000;155000;150000;157000;1.73248
4932000;3978000;3087000;3124000;1.57875
39842000;26843000;23340000;24389000;1.63361
23259000;17019000;14332000;14897000;1.56132
1237000;476000;405000;432000;2.86343
567003000;250946000;86506000;89301000;6.34935
6823000;4548000;3498000;3711000;1.83859
28908000;17760000;13400000;14296000;2.02210
494000;323000;271000;272000;1.81618
1806000;1101000;810000;843000;2.14235
