Orig;V1;V2;V3;Orig/V3
7604000;5407000;4164000;4303000;1.76714
41749000;23550000;20730000;21107000;1.97797
6058000;2248000;2239000;2334000;2.59554
14056000;11067000;8026000;8226000;1.70873
6095000;3319000;2543000;2663000;2.28877
11073000;8502000;6172000;6374000;1.73721
1896000;1546000;1158000;1179000;1.60814
8109999;4272000;3775000;3938000;2.05942
1933000;1579000;1207000;1216000;1.58964
1620000;757000;821000;548000;2.95620
1387000;992000;649000;659000;2.10470
2429000;961000;966000;941000;2.58130
16400999;13085000;10371000;10631000;1.54275
26248000;19190000;14683000;15220000;1.72457
21028000;8699000;5024000;5261000;3.99696
36555000;1212263000;731046000;23650000;1.54567
697000;348000;303000;339000;2.05605
8274000;5250000;3521000;3454000;2.39548
2396000;1657000;1122000;1153000;2.07806
1600000;948000;709000;729000;2.19479
2346000;1607000;1342000;1368000;1.71491
6972000;5698000;3715000;3684000;1.89251
1436000;952000;731000;739000;1.94317
9290000;3683000;3347000;3406000;2.72754
8658000;6740000;5184000;5385000;1.60780
262000;165000;143000;139000;1.88489
1663000;1236000;833000;838000;1.98449
30095000;41530000;10609000;11365000;2.64804
4061999;3328000;2135000;2116000;1.91966
1689000;566000;506000;909000;1.85809
29215000;23215000;3496000;5677000;5.14620
17762000;13887000;10161000;10367000;1.71332
121348000;1863076000;1138714000;72356000;1.67710
15284000;4681000;4087000;3166000;4.82754
268021999;171617000;131417000;136571000;1.96251
12303000;6350000;5374000;5655000;2.17560
42837000;29028000;20251000;21495000;1.99288
11329000;1460000;715000;732000;15.47678
1927000;1391000;954000;977000;1.97236
16043000;11015000;7642000;8030000;1.99788
8299000;5183000;3309000;3429000;2.42024
3540000;3773000;4664000;4952000;0.71486
330000;195000;155000;157000;2.10191
2407000;2099000;1609000;1637000;1.47037
5100000;3698000;2683000;2468000;2.06645
41159000;114833000;9349000;9631000;4.27360
53226000;40584000;27708000;28552000;1.86418
8290000;5281000;3385000;3362000;2.46579
7730000;6654000;4915000;5002000;1.54538
2666000;2171000;1496000;1533000;1.73907
3881000;2875000;1971000;1982000;1.95812
9584000;6419000;4589000;4696000;2.04089
750538000;333528000;279216000;305075000;2.46018
88040000;61102000;44862000;47037000;1.87172
2573000;2022000;1597000;1660000;1.55000
1495000;1040000;737000;765000;1.95425
13530000;9082000;6283000;4440000;3.04730
17546000;13572000;10908000;11095000;1.58143
15252000;8425000;5855000;5905000;2.58290
11711000;8579000;6574000;6790000;1.72474
322000;165000;154000;162000;1.98765
16181999;11979000;8978000;9331000;1.73422
6437000;2907000;2065000;1921000;3.35086
12680000;7846000;5136000;5252000;2.41432
23033000;14503000;10520000;11337000;2.03167
3271000;2541000;1667000;1715000;1.90729
849000;547000;345000;341000;2.48974
7718000;6510000;5070000;5164000;1.49458
145669000;65295000;50137000;54784000;2.65897
478289000;246824000;185988000;203778000;2.34711
548000;405000;291000;314000;1.74522
8434000;3655000;3180000;3304000;2.55266
47896000;32545000;26487000;28057000;1.70710
12972000;6373000;5115000;5400000;2.40222
6197000;5300000;3990000;4060000;1.52635
1939000;1622000;1284000;1295000;1.49730
28760000;20189000;13914000;14493000;1.98441
5527000;4133000;2800000;2865000;1.92914
2200000;1721000;1189000;1213000;1.81369
939000;654000;422000;430000;2.18372
31842000;9396000;10688000;11146000;2.85681
2175000;1713000;1327000;1358000;1.60162
21150000;13597000;9218000;9904000;2.13550
558000;410000;352000;359000;1.55432
2748000;1935000;1372000;1401000;1.96146
5827000;3586000;2585000;2543000;2.29139
4370000;3179000;2020000;2072000;2.10907
6452000;4226000;2708000;2676000;2.41106
220296000;164048000;122433000;124146000;1.77449
2178000;1654000;1327000;1380000;1.57826
143126000;88003000;59861000;63549000;2.25221
541000;258000;200000;214000;2.52804
15380000;7962000;5832000;6084000;2.52794
614000;302000;258000;269000;2.28253
13650000;7443000;5303000;5486000;2.48815
18699000;13720000;10424000;10800000;1.73139
5049000;3822000;3071000;3159000;1.59829
11514000;9052000;6598000;6844000;1.68235
3772000;2446000;1763000;1809000;2.08513
116841000;79115000;57222000;59499000;1.96375
3727000;2586000;1859000;1946000;1.91521
90100000;59407000;39755000;42350000;2.12751
218605000;58685000;19445000;17717000;12.33871
3005000;2280000;1746000;1848000;1.62608
5897000;3683000;2436000;2434000;2.42276
15666000;8249000;7345000;7515000;2.08463
1248000;883000;607000;609000;2.04926
950000;708000;500000;505000;1.88119
565000;361000;266000;278000;2.03237
826000;618000;464000;462000;1.78788
28679000;19782000;14661000;15531000;1.84656
26838000;19917000;15383000;16003000;1.67706
1061000;77810000;55274000;735000;1.44354
2670000;1867000;1367000;1349000;1.97924
3550000;2446000;1887000;1625000;2.18462
7407000;5747000;4213000;4453000;1.66337
39242000;22801000;20051000;20292000;1.93387
3631000;2361000;1888000;1969000;1.84408
4316000;2889000;2024000;2093000;2.06211
733000;430000;282000;280000;2.61786
2760000;1978000;1406000;1412000;1.95467
1297000;1171000;882000;899000;1.44271
1296000;843000;641000;656000;1.97561
12516000;7637000;4595000;4645000;2.69451
1216000;1065000;816000;855000;1.42222
295000;144000;124000;119000;2.47899
194000;102000;87000;91000;2.13187
6613000;1952000;2137000;2228000;2.96813
833000;521000;385000;386000;2.15803
2324000;1715000;1145000;1158000;2.00691
1615000;1156000;781000;780000;2.07051
13084000;3584000;4014000;4213000;3.10563
6739000;4292000;2828000;2915000;2.31184
2062000;1573000;1264000;1282000;1.60842
17655000;13096000;6351000;6369000;2.77202
699000;457000;353000;355000;1.96901
4308000;3587000;2742000;2744000;1.56997
7224000;4557000;3663000;3772000;1.91516
282000;151000;133000;136000;2.07353
727000;303000;279000;289000;2.51557
8978000;5847000;3956000;3984000;2.25351
7120000;5455000;3776000;3797000;1.87516
561899000;23985860000;13318597000;361078000;1.55617
2299000;2039000;1466000;1505000;1.52757
722000;531000;370000;378000;1.91005
133024000;89365000;67941000;70950000;1.87490
1857000;1198000;940000;983000;1.88911
10328000;8186000;5353000;5458000;1.89227
17490000;4117000;4312000;4468000;3.91450
241630000;107793000;38364000;39677000;6.08993
7826000;4349000;3370000;3557000;2.20017
3345000;2628000;2152000;2227000;1.50202
114779000;66840000;47205000;49064000;2.33937
7307000;1691000;1883000;1972000;3.70538
309000;234000;184000;189000;1.63492
19667000;10201000;8253000;8289000;2.37266
1900000;1236000;866000;856000;2.21963
216000;174000;139000;141000;1.53191
2907000;1812000;1490000;1508000;1.92772
5798000;4310000;3453000;3566000;1.62591
7953999;6118000;4782000;4895000;1.62492
302000;188000;167000;169000;1.78698
6695000;5347000;4032000;4103000;1.63173
3431000;1909000;1414000;1472000;2.33084
2359000;1439000;1200000;1282000;1.84009
5879000;3885000;2401000;2452000;2.39763
250999;110000;92000;91000;2.75823
2852000;1181000;1105000;1140000;2.50175
166000;84000;68000;67000;2.47761
6547000;5221000;3856000;3996000;1.63839
3219000;2284000;1623000;1673000;1.92409
7502000;2954000;2875000;3312000;2.26510
452000;310000;223000;226000;2.00000
21692000;14458000;10709000;11190000;1.93852
11270000;2939000;2872000;3018000;3.73426
10827000;7130000;4583000;4668000;2.31941
2003000;1667000;1171000;1179000;1.69890
5399000;4418000;3463000;3508000;1.53905
1397000;46808000;30035000;622000;2.24598
1336000;827000;684000;621000;2.15137
568000;422000;354000;343000;1.65598
346000;291000;196000;178000;1.94382
5112000;3670000;2921000;2998000;1.70514
1358000;857000;595000;602000;2.25581
61936000;44484000;36418000;37306000;1.66022
2950000;1671000;1460000;1543000;1.91186
3752000;1742000;1606000;1654000;2.26844
12992000;9533000;8383000;8574000;1.51528
26587000;19471000;14742000;15271000;1.74101
28938000;20280000;15627000;16128000;1.79427
2306000;1631000;1094000;1126000;2.04796
170000;113000;97000;96000;1.77083
2919000;2021000;1470000;1504000;1.94082
24242000;14165000;11056000;11759000;2.06157
5259000;3935000;2891000;2901000;1.81282
1870000;1356000;1064000;1093000;1.71089
1950000;1548000;1262000;1293000;1.50812
